ozone,particullate_matter,carbon_monoxide,sulfure_dioxide,nitrogen_dioxide,longitude,latitude,timestamp
41,58,98,63,40,10.26136529,56.24203279,01/08/2014 00:05
38,56,98,68,42,10.26136529,56.24203279,01/08/2014 00:10
40,51,100,73,37,10.26136529,56.24203279,01/08/2014 00:15
41,51,97,71,37,10.26136529,56.24203279,01/08/2014 00:20
37,48,96,76,37,10.26136529,56.24203279,01/08/2014 00:25
42,43,100,78,32,10.26136529,56.24203279,01/08/2014 00:30
44,43,96,77,29,10.26136529,56.24203279,01/08/2014 00:35
40,47,95,72,28,10.26136529,56.24203279,01/08/2014 00:40
42,50,99,67,26,10.26136529,56.24203279,01/08/2014 00:45
45,54,103,66,29,10.26136529,56.24203279,01/08/2014 00:50
49,58,105,62,29,10.26136529,56.24203279,01/08/2014 00:55
47,63,100,63,34,10.26136529,56.24203279,01/08/2014 01:00
42,67,103,60,35,10.26136529,56.24203279,01/08/2014 01:05
40,66,106,55,34,10.26136529,56.24203279,01/08/2014 01:10
38,68,101,54,35,10.26136529,56.24203279,01/08/2014 01:15
41,69,97,54,37,10.26136529,56.24203279,01/08/2014 01:20
40,68,96,59,34,10.26136529,56.24203279,01/08/2014 01:25
36,67,100,60,29,10.26136529,56.24203279,01/08/2014 01:30
33,70,99,58,30,10.26136529,56.24203279,01/08/2014 01:35
36,71,97,63,26,10.26136529,56.24203279,01/08/2014 01:40
35,70,98,63,26,10.26136529,56.24203279,01/08/2014 01:45
37,70,93,60,28,10.26136529,56.24203279,01/08/2014 01:50
39,67,90,59,30,10.26136529,56.24203279,01/08/2014 01:55
42,71,88,56,33,10.26136529,56.24203279,01/08/2014 02:00
46,72,85,59,37,10.26136529,56.24203279,01/08/2014 02:05
46,73,84,55,38,10.26136529,56.24203279,01/08/2014 02:10
46,78,89,50,41,10.26136529,56.24203279,01/08/2014 02:15
44,77,90,46,42,10.26136529,56.24203279,01/08/2014 02:20
44,80,93,50,37,10.26136529,56.24203279,01/08/2014 02:25
47,76,96,54,34,10.26136529,56.24203279,01/08/2014 02:30
52,76,94,49,36,10.26136529,56.24203279,01/08/2014 02:35
53,80,97,49,39,10.26136529,56.24203279,01/08/2014 02:40
48,84,97,46,39,10.26136529,56.24203279,01/08/2014 02:45
43,84,98,48,40,10.26136529,56.24203279,01/08/2014 02:50
42,84,94,46,44,10.26136529,56.24203279,01/08/2014 02:55
39,81,91,49,45,10.26136529,56.24203279,01/08/2014 03:00
44,78,86,47,45,10.26136529,56.24203279,01/08/2014 03:05
45,74,91,42,43,10.26136529,56.24203279,01/08/2014 03:10
44,76,92,42,48,10.26136529,56.24203279,01/08/2014 03:15
49,75,94,45,51,10.26136529,56.24203279,01/08/2014 03:20
45,78,97,42,46,10.26136529,56.24203279,01/08/2014 03:25
47,82,99,41,42,10.26136529,56.24203279,01/08/2014 03:30
48,81,95,40,44,10.26136529,56.24203279,01/08/2014 03:35
48,84,92,43,42,10.26136529,56.24203279,01/08/2014 03:40
45,84,96,42,47,10.26136529,56.24203279,01/08/2014 03:45
45,82,100,37,49,10.26136529,56.24203279,01/08/2014 03:50
50,77,96,32,54,10.26136529,56.24203279,01/08/2014 03:55
45,74,93,31,55,10.26136529,56.24203279,01/08/2014 04:00
41,73,94,34,56,10.26136529,56.24203279,01/08/2014 04:05
37,74,93,30,54,10.26136529,56.24203279,01/08/2014 04:10
38,73,98,31,56,10.26136529,56.24203279,01/08/2014 04:15
38,70,97,34,54,10.26136529,56.24203279,01/08/2014 04:20
37,72,97,32,50,10.26136529,56.24203279,01/08/2014 04:25
34,74,102,33,55,10.26136529,56.24203279,01/08/2014 04:30
32,73,101,28,54,10.26136529,56.24203279,01/08/2014 04:35
31,69,101,27,55,10.26136529,56.24203279,01/08/2014 04:40
